Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,47.2291700000,µg/m3,2023-01-02 13:00:00 +01:00,2023-01-02 14:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,53.8156700000,µg/m3,2023-01-02 14:00:00 +01:00,2023-01-02 15:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,78.8826700000,µg/m3,2023-01-02 15:00:00 +01:00,2023-01-02 16:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,118.6860000000,µg/m3,2023-01-02 16:00:00 +01:00,2023-01-02 17:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,119.4765000000,µg/m3,2023-01-02 17:00:00 +01:00,2023-01-02 18:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,132.8550000000,µg/m3,2023-01-02 18:00:00 +01:00,2023-01-02 19:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,151.1250000000,µg/m3,2023-01-02 19:00:00 +01:00,2023-01-02 20:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,154.1100000000,µg/m3,2023-01-02 20:00:00 +01:00,2023-01-02 21:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,130.9750000000,µg/m3,2023-01-02 21:00:00 +01:00,2023-01-02 22:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,94.1046700000,µg/m3,2023-01-02 22:00:00 +01:00,2023-01-02 23:00:00 +01:00,1,3
